Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,167.1,-110.8,-90,top
C2,100n,C_0402_1005Metric,165.85,-110.8,-90,top
C3,100n,C_0402_1005Metric,164.55,-110.8,-90,top
D1,WHITE,LED_0603_1608Metric,169.65,-84.9,180,top
D2,RED,LED_0603_1608Metric,169.65,-83.3,180,top
J2,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,159.45,-85.08,90,top
Q1,BC847,SOT-23,164.55,-84.8625,90,top
R1,47K,R_0402_1005Metric,165.72,-82,0,top
R2,4.7K,R_0402_1005Metric,163.85,-82,0,top
R3,4.7K,R_0402_1005Metric,172.1,-84.9,180,top
R4,4.7K,R_0402_1005Metric,172.1,-83.3,180,top
R5,4.7K,R_0402_1005Metric,152.65,-112.65,0,top
R6,4.7K,R_0402_1005Metric,152.66,-111.4,0,top
U1,L80RE-M37,XCVR_L80RE-M37,163.25,-98.7,0,top
U2,M24C16-RMN6TP,SOIC127P600X175-8N,157.9125,-113.3,90,top
